               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.027589,           0.0047308,           0.0017339,             0.88419,             0.88822,             0.90197,             0.69432,            0.026195,           0.0033055,          0.00063739,            0.003268,            0.003268,            0.003268
                  36,             0.02719,           0.0046806,           0.0016878,             0.88045,             0.89103,             0.90705,             0.70191,            0.025365,           0.0032984,          0.00066716,             0.00307,             0.00307,             0.00307
                  37,            0.027457,            0.004692,           0.0015812,             0.87995,             0.89616,             0.90841,             0.70686,            0.025227,           0.0032943,          0.00060674,            0.002872,            0.002872,            0.002872
                  38,            0.027307,           0.0047121,           0.0016061,             0.87934,              0.8992,             0.90794,             0.69893,            0.025509,           0.0033172,          0.00060966,            0.002674,            0.002674,            0.002674
                  39,            0.026864,           0.0046709,           0.0014193,             0.88086,             0.88838,             0.90106,             0.69793,            0.025624,           0.0032805,          0.00054458,            0.002476,            0.002476,            0.002476
                  40,            0.026615,           0.0046065,           0.0014082,             0.88974,             0.87884,             0.90594,             0.70668,            0.025111,           0.0033019,          0.00066085,            0.002278,            0.002278,            0.002278
                  41,             0.02586,            0.004565,           0.0013011,              0.8851,              0.8898,             0.90449,             0.71171,            0.024761,           0.0032969,          0.00049063,             0.00208,             0.00208,             0.00208
                  42,            0.025704,           0.0045609,            0.001231,             0.87957,             0.89432,             0.90634,             0.71243,            0.024579,           0.0032622,          0.00050565,            0.001882,            0.001882,            0.001882
                  43,             0.02546,           0.0045491,           0.0011859,             0.88153,             0.88966,             0.90477,             0.71075,            0.024937,           0.0032755,          0.00043841,            0.001684,            0.001684,            0.001684
                  44,             0.02535,            0.004583,           0.0011956,             0.87826,             0.89728,             0.90456,             0.71128,            0.024813,           0.0032641,          0.00045482,            0.001486,            0.001486,            0.001486
                  45,             0.02467,           0.0044378,           0.0010436,             0.87512,             0.88846,             0.90697,             0.71461,            0.024549,           0.0032628,          0.00036819,            0.001288,            0.001288,            0.001288
                  46,            0.024363,           0.0044662,           0.0010142,             0.87997,             0.88935,             0.90953,             0.71578,            0.024601,           0.0032461,          0.00040399,             0.00109,             0.00109,             0.00109
                  47,            0.024114,           0.0044323,          0.00096647,             0.87152,             0.90097,              0.9145,              0.7186,            0.024923,           0.0032531,          0.00039172,            0.000892,            0.000892,            0.000892
                  48,            0.023627,           0.0044298,          0.00093233,             0.87692,             0.89463,             0.90953,             0.72186,            0.024384,            0.003233,          0.00034849,            0.000694,            0.000694,            0.000694
                  49,            0.023462,           0.0043876,          0.00077061,             0.88599,             0.88339,             0.90947,             0.71821,            0.024455,           0.0032317,          0.00036201,            0.000496,            0.000496,            0.000496
